Komentar,Sentimen
"['ketakutan', 'wall', 'street', 'lanjutkan', 'penurunan']",Negatif
"['ketahanan', 'pangan', 'desa', 'kekuatan', 'menghadapai', 'global']",Positif
"['semoga', 'tumbuh', 'tahan', 'terhada', 'terpaan', 'angin', 'dunia', 'kemandirian', 'kedalautan', 'pangan', 'energi', 'faktor', 'utama', 'lolos', 'ancaman']",Positif
"['caffe', 'type', 'ukm', 'ramping', 'penyelamat']",Positif
"['kepala', 'bkkbn', 'seks']",Negatif
"['bebas', 'sadar', 'kali', 'januari', 'tanggal', 'merahnya', 'minggu']",Positif
"['kebal', 'tren', 'ipo', 'prospektif']",Negatif
"['tanda', 'kekayaan', 'alamnya', 'kayak', 'gas', 'dibutuhin', 'triliunan', 'kubik', 'perlulah', 'sewa', 'pulau', 'tar', 'macem', 'mesti']",Positif
"['sebentar', 'memasuki', 'kalabendu', 'diramalkan', 'anak', 'bangsa', 'gesekan', 'gesekan', 'politik', 'ekses', 'tahapan', 'pemilu', 'kampanye', 'gesekan', 'dampak', 'global', 'maraknya', 'phk']",Negatif
"['amerika', 'serikat', 'bahaya', 'tahan', 'ekspor', 'kenegaraan', 'manapun', 'jong', 'kirim', 'ekspor', 'kaya', 'uang', 'kaya', 'utang', 'kagak', 'paham', 'politik']",Negatif
"['dunia', 'mengalami', 'insya', 'allah', 'perisai']",Negatif
"['lanyalla', 'peluang', 'menjaga', 'pertumbuhan', 'stabilitas', 'nasional', 'otomatis', 'menghadapi', 'gejolak', 'memiliki', 'fundamental', 'kuat', 'lanyalla']",Positif
"['ketua', 'dpd', 'lanyalla', 'mahmud', 'mattalitti', 'menilai', 'ancaman', 'tantangan', 'peluang', 'lanyalla']",Positif
"['ketua', 'dpd', 'nilai', 'dunia', 'peluang', 'lanyalla', 'nyallaindonesia', 'beranibangkit', 'dpdri']",Positif
"['pcaya', 'juara', 'piala', 'dunia', 'pda', 'sex']",Positif
"['mengarungi', 'ombak']",Positif
"['semoga', 'terhindar', 'dampak']",Positif
"['perekonomian', 'stabil']",Positif
"['sampe', 'deh', 'kena']",Negatif
"['judul', 'ngawur', 'kelahiran', 'gitu', 'santun']",Positif
"['uji', 'taji', 'prospek', 'bisnis', 'fintech', 'dibayangi']",Positif
"['oktober', 'isu', 'global', 'kabar', 'baiknya', 'berhasil', 'mencatatkan', 'pertumbuhan', 'yoy', 'kuartal', 'pertumbuhan', 'tahunan', 'tertinggi', 'kuartal']",Positif
"['pemerintah', 'pastikan', 'apbn', 'menjaga', 'ancaman', 'penyelesaian', 'proyek', 'strategis', 'nasional', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'jokowibapakinfrastruktur']",Positif
"['langkah', 'menghadapi', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['dibayangi', 'seks', 'terkait', 'turunnya', 'kelahiran', 'bkkbn', 'potensi', 'laporannya']",Positif
"['bebas', 'risiko', 'seks', 'pasalnya', 'kabupaten', 'kota', 'dilaporkan', 'mencatat', 'nihil', 'kelahiran']",Positif
"['dipotong', 'dicari', 'celah']",Positif
"['dunia', 'terancam', 'bahlil', 'waspada', 'investasi', 'seret']",Positif
"['semoga', 'siaga', 'upaya', 'mmenghadapi', 'inflasi']",Positif
"['pemerintah', 'sigap', 'menghadapi', 'tantangan']",Positif
"['ancaman', 'mayora', 'beberkan', 'rencana', 'ekspansi']",Positif
"['euro', 'menyadari', 'kesalahannya', 'prakiraan', 'data', 'menguat', 'investor', 'ragu', 'pasar', 'kesalahan', 'percaya', 'fed', 'memangkas', 'suku', 'bunga', 'memengaruhi', 'eur']",Positif
"['menparekraf', 'sandiaga', 'uno', 'kiat', 'pelaku', 'usaha', 'optimis', 'menghadapi', 'tantangan', 'perekonomian']",Positif
"['hadapi', 'hantu', 'bertahan', 'stabilitas', 'sektor', 'jasa', 'keuangan']",Negatif
"['proses', 'mengalami', 'seks', 'dinilai']",Positif
"['pertumbuhan', 'dunia', 'gelap', 'global', 'perusahaan', 'inovasi', 'menghadapi', 'tantangan', 'global', 'berdampak', 'media', 'network', 'menggelar', 'acara', 'selular', 'digital', 'telco']",Positif
"['sepatu', 'asli', 'buatan', 'keluarin', 'produk', 'harga', 'udah', 'preorder', 'nresesi']",Negatif
"['semoga', 'growth', 'terhindar', 'god', 'bless']",Negatif
"['negara', 'mengatasi']",Positif
"['dampak', 'global']",Positif
"['ngga', 'terdampak', 'beneran', 'pemgusaha', 'faktanya', 'analis', 'emang', 'terdampak']",Positif
"['terjemahannya', 'orang', 'kaya', 'terkena', 'dampak', 'negatif', 'global', 'orang', 'menengah', 'hidupnya', 'susah']",Positif
"['menghadapi', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['langkah', 'menghadapi', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['maraknya', 'phk', 'imbas', 'pelemahan', 'eropa', 'airlangga', 'hartarto', 'airlangga', 'pemersatu', 'airlangga', 'partai', 'golkar', 'golkar', 'pedia', 'golkar', 'solid', 'airlangga', 'presiden']",Positif
"['langkah', 'menghadapi', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['eropa', 'terancam', 'kena', 'dampak']",Positif
"['survive', 'hadapi', 'pengusaha', 'fmcg', 'butuh', 'modal']",Negatif
"['langkah', 'hadapi', 'fokus', 'pemerintah', 'menghadapi', 'meningkatkan', 'nilai', 'ekspor', 'investasi', 'reformasi', 'struktural', 'menjaga', 'produksi', 'rumah', 'tangga', 'berdampak', 'pdb', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['langkah', 'hadapi', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['langkah', 'menghadapi', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['buka', 'bukaan', 'pengusaha', 'industri', 'fmcg', 'hadapi', 'ancaman']",Positif
"['penasaran', 'ide', 'bisnis', 'hasilkan', 'cuan', 'jawabannya', 'yuk', 'langsung', 'simak', 'postingan', 'resesiglobal', 'resesiekonomi', 'ekonomiglobal', 'umkm', 'kontrakhukum', 'legal', 'hukum', 'legalitas', 'idebisnis']",Positif
"['prediksi', 'ahli', 'negara', 'negara', 'amerika', 'serikat', 'eropa', 'terdampak']",Positif
"['tanti', 'perekonomian', 'global', 'kondisi', 'ketidakpastian', 'ipb', 'university', 'gelar', 'seminar', 'outlook', 'antisipasi']",Positif
"['eks', 'menkeu', 'wajib', 'kena', 'lho', 'gitu']",Positif
"['menteri', 'bumn', 'erick', 'thohir', 'optimistis', 'melewati', 'mendorong', 'ekspor', 'sumber', 'daya', 'alam', 'bentuk', 'produk', 'membangun', 'optimisme', 'perekonomian', 'tumbuh', 'angka', 'bangkitbersamaet']",Positif
"['optimistis', 'waspada', 'strategi', 'hadapi', 'isu', 'inflasi', 'global']",Positif
"['dpr', 'optimistis', 'mengalami']",Positif
"['indef', 'terbebas', 'mengalami', 'perlambatan', 'pertumbuhan', 'tempo', 'bisnis']",Positif
"['industri', 'digital', 'pusat', 'data', 'tulang', 'punggung', 'hadapi']",Positif
