Komentar,Sentimen
"['takut', 'wall', 'street', 'lanjut', 'turun']",Negatif
"['tahan', 'pangan', 'desa', 'kuat', 'menghadapai', 'global']",Positif
"['moga', 'tumbuh', 'tahan', 'terhada', 'terpa', 'angin', 'dunia', 'mandiri', 'kedalautan', 'pangan', 'energi', 'faktor', 'utama', 'lolos', 'ancam']",Positif
"['caffe', 'type', 'ukm', 'ramping', 'selamat']",Positif
"['kepala', 'bkkbn', 'seks']",Negatif
"['bebas', 'sadar', 'kali', 'januari', 'tanggal', 'merah', 'minggu']",Positif
"['kebal', 'tren', 'ipo', 'prospektif']",Negatif
"['tanda', 'kaya', 'alam', 'kayak', 'gas', 'dibutuhin', 'triliun', 'kubik', 'perlu', 'sewa', 'pulau', 'tar', 'macem', 'mesti']",Positif
"['sebentar', 'pasuk', 'kalabendu', 'ramal', 'anak', 'bangsa', 'gesek', 'gesek', 'politik', 'ekses', 'tahap', 'milu', 'kampanye', 'gesek', 'dampak', 'global', 'marak', 'phk']",Negatif
"['amerika', 'serikat', 'bahaya', 'tahan', 'ekspor', 'negara', 'mana', 'jong', 'kirim', 'ekspor', 'kaya', 'uang', 'kaya', 'utang', 'kagak', 'paham', 'politik']",Negatif
"['dunia', 'alami', 'insya', 'allah', 'perisai']",Negatif
"['lanyalla', 'peluang', 'jaga', 'tumbuh', 'stabilitas', 'nasional', 'otomatis', 'hadap', 'gejolak', 'milik', 'fundamental', 'kuat', 'lanyalla']",Positif
"['ketua', 'dpd', 'lanyalla', 'mahmud', 'mattalitti', 'nilai', 'ancam', 'tantang', 'peluang', 'lanyalla']",Positif
"['ketua', 'dpd', 'nilai', 'dunia', 'peluang', 'lanyalla', 'nyallaindonesia', 'beranibangkit', 'dpdri']",Positif
"['pcaya', 'juara', 'piala', 'dunia', 'pda', 'sex']",Positif
"['arung', 'ombak']",Positif
"['moga', 'hindar', 'dampak']",Positif
"['ekonomi', 'stabil']",Positif
"['sampe', 'deh', 'kena']",Negatif
"['judul', 'ngawur', 'lahir', 'gitu', 'santun']",Positif
"['uji', 'taji', 'prospek', 'bisnis', 'fintech', 'bayang']",Positif
"['oktober', 'isu', 'global', 'kabar', 'baik', 'hasil', 'catat', 'tumbuh', 'yoy', 'kuartal', 'tumbuh', 'tahun', 'tinggi', 'kuartal']",Positif
"['perintah', 'pasti', 'apbn', 'jaga', 'ancam', 'selesai', 'proyek', 'strategis', 'nasional', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'jokowibapakinfrastruktur']",Positif
"['langkah', 'hadap', 'indonesiatanparesesi', 'ekonomiindonesia']",Positif
"['bayang', 'seks', 'kait', 'turun', 'lahir', 'bkkbn', 'potensi', 'lapor']",Positif
"['bebas', 'risiko', 'seks', 'pasal', 'kabupaten', 'kota', 'lapor', 'catat', 'nihil', 'lahir']",Positif
"['potong', 'cari', 'celah']",Positif
"['dunia', 'ancam', 'bahlil', 'waspada', 'investasi', 'seret']",Positif
"['moga', 'siaga', 'upaya', 'mmenghadapi', 'inflasi']",Positif
"['perintah', 'sigap', 'hadap', 'tantang']",Positif
"['ancam', 'mayora', 'kan', 'rencana', 'ekspansi']",Positif
"['euro', 'sadar', 'salah', 'prakira', 'data', 'kuat', 'investor', 'ragu', 'pasar', 'salah', 'percaya', 'fed', 'mangkas', 'suku', 'bunga', 'pengaruh', 'eur']",Positif
"['menparekraf', 'sandiaga', 'uno', 'kiat', 'laku', 'usaha', 'optimis', 'hadap', 'tantang', 'ekonomi']",Positif
"['hadap', 'hantu', 'tahan', 'stabilitas', 'sektor', 'jasa', 'uang']",Negatif
"['proses', 'alami', 'seks', 'nilai']",Positif
"['tumbuh', 'dunia', 'gelap', 'global', 'usaha', 'inovasi', 'hadap', 'tantang', 'global', 'dampak', 'media', 'network', 'gelar', 'acara', 'selular', 'digital', 'telco']",Positif
"['sepatu', 'asli', 'buat', 'keluarin', 'produk', 'harga', 'udah', 'preorder', 'nresesi']",Negatif
"['moga', 'growth', 'hindar', 'god', 'bless']",Negatif
"['negara', 'atas']",Positif
"['dampak', 'global']",Positif
"['ngga', 'dampak', 'beneran', 'pemgusaha', 'fakta', 'analis', 'emang', 'dampak']",Positif
